,name,state,categories,lat,long,city,Active Life,Arts & Entertainment,Automotive,Beauty & Spas,Education,Event Planning & Services,Financial Services,Food,Health & Medical,Home Services,Hotels & Travel,Local Flavor,Local Services,Mass Media,Nightlife,Pets,Professional Services,Religious Organizations,Restaurants,Shopping
"Point-Claire, QC",pointclaire,QC,"Counter({'Restaurants': 107625319563487807481520346831825185, 'Food': 39517861103417579144693040581022366, 'Shopping': 17742253964981444933203204996188000, 'Nightlife': 15910133963702846390357736503609895, 'Event Planning & Services': 9415435569427441910374679457663990, 'Hotels & Travel': 7546538396476957939389623517977873, 'Beauty & Spas': 7410727223557318975450189276551219, 'Active Life': 5635946239355185530201590078172138, 'Arts & Entertainment': 5230590585468291707712840287221477, 'Health & Medical': 3315327620461536165754723825167795, 'Local Services': 3052277813442070413913568262798580, 'Home Services': 2615723944098210835539352831562923, 'Automotive': 2443643798596735066560076761763215, 'Pets': 1314342225416687793240508873876736, 'Local Flavor': 1300766026947147040748076542149231, 'Education': 1079909944033976817209004987431790, 'Professional Services': 767802391613140112600547999289445, 'Financial Services': 244021695080278519089937142837462, 'Religious Organizations': 182995973167532653906575950230928, 'Mass Media': 91416616981262532169253115097576})",45.464152,-73.831915,pointclaire,5.63595E+33,5.23059E+33,2.44364E+33,7.41073E+33,1.07991E+33,9.41544E+33,2.44022E+32,3.95179E+34,3.31533E+33,2.61572E+33,7.54654E+33,1.30077E+33,3.05228E+33,9.14166E+31,1.59101E+34,1.31434E+33,7.67802E+32,1.82996E+32,1.07625E+35,1.77423E+34
"Sainte-Genevieve, QC",saintegenevieve,QC,"Counter({'Restaurants': 215239833613723905494187884203258893, 'Food': 79031754638854277167520730302192456, 'Shopping': 35482726619011978261047176251536063, 'Nightlife': 31818670560131165426971485025725280, 'Event Planning & Services': 18829925835145415625838221433244394, 'Hotels & Travel': 15092319125325346716314354225454965, 'Beauty & Spas': 14820710414840971011849494366709590, 'Active Life': 11271326633312445432692804055776949, 'Arts & Entertainment': 10460656022987060218672043352472544, 'Health & Medical': 6630322384150317076620277737261295, 'Local Services': 6104249180143775132911252908113764, 'Home Services': 5231185271185337267312047400852027, 'Automotive': 4887042256918939114710376556338073, 'Pets': 2628552491714539767009325716200055, 'Local Flavor': 2601401457817101858946702358715983, 'Education': 2159711465800235967151970956035208, 'Professional Services': 1535527696357215219244650640647927, 'Financial Services': 488018890538436621342957809168656, 'Religious Organizations': 365973573656395538071919137421699, 'Mass Media': 182824055792646230396739005105069})",45.4713746,-73.8777466,saintegenevieve,1.12713E+34,1.04607E+34,4.88704E+33,1.48207E+34,2.15971E+33,1.88299E+34,4.88019E+32,7.90318E+34,6.63032E+33,5.23119E+33,1.50923E+34,2.6014E+33,6.10425E+33,1.82824E+32,3.18187E+34,2.62855E+33,1.53553E+33,3.65974E+32,2.1524E+35,3.54827E+34
"Dane, WI",dane,wisconsin,"Counter({'Restaurants': 8675813797062, 'Shopping': 4980353656960, 'Food': 4837761044934, 'Home Services': 2548306146487, 'Nightlife': 2454412587456, 'Beauty & Spas': 2319798818752, 'Local Services': 1833277396157, 'Automotive': 1826822149126, 'Event Planning & Services': 1810981966462, 'Health & Medical': 1627774795136, 'Active Life': 1535196890271, 'Arts & Entertainment': 905457582960, 'Hotels & Travel': 890346444810, 'Pets': 780933763010, 'Professional Services': 697084241209, 'Education': 375976744246, 'Financial Services': 311558204482, 'Local Flavor': 290593836088, 'Mass Media': 68276725006, 'Religious Organizations': 34582553280})",43.284453,-89.418005,dane,1.5352E+12,9.05458E+11,1.82682E+12,2.3198E+12,3.75977E+11,1.81098E+12,3.11558E+11,4.83776E+12,1.62777E+12,2.54831E+12,8.90346E+11,2.90594E+11,1.83328E+12,68276725006,2.45441E+12,7.80934E+11,6.97084E+11,34582553280,8.67581E+12,4.98035E+12
"Marvin, NC",marvin,north carolina,"Counter({'Restaurants': 83620922957551677, 'Shopping': 46520179770484261, 'Food': 43398453015147815, 'Beauty & Spas': 29539529645366928, 'Home Services': 27433676641925561, 'Health & Medical': 22212531770972957, 'Automotive': 22018887402797339, 'Local Services': 20171720546931616, 'Nightlife': 17258602794194525, 'Event Planning & Services': 15986422175722711, 'Active Life': 14908234493407062, 'Hotels & Travel': 8822592393837103, 'Arts & Entertainment': 8000730422514467, 'Pets': 7908775353807515, 'Professional Services': 6905517114459376, 'Education': 4203594309801033, 'Financial Services': 2848338999990876, 'Local Flavor': 2252405039388669, 'Religious Organizations': 829150502142090, 'Mass Media': 225760066831997})",34.9918154,-80.814794,marvin,1.49082E+16,8.00073E+15,2.20189E+16,2.95395E+16,4.20359E+15,1.59864E+16,2.84834E+15,4.33985E+16,2.22125E+16,2.74337E+16,8.82259E+15,2.25241E+15,2.01717E+16,2.2576E+14,1.72586E+16,7.90878E+15,6.90552E+15,8.29151E+14,8.36209E+16,4.65202E+16
"Antioch, CA",antioch,california,"Counter({'Restaurants': 3595899175708160, 'Shopping': 2851460680739062, 'Home Services': 2300407249388222, 'Food': 2034416362304256, 'Health & Medical': 1976558678245376, 'Beauty & Spas': 1881811439362160, 'Local Services': 1507240615260160, 'Automotive': 1306832378078208, 'Nightlife': 1042401091274752, 'Event Planning & Services': 990853144770299, 'Active Life': 932141042781184, 'Professional Services': 889896274100736, 'Arts & Entertainment': 805424360157176, 'Hotels & Travel': 613931129263328, 'Financial Services': 470203085220608, 'Education': 365617411662080, 'Pets': 311745903832064, 'Local Flavor': 144276473930752, 'Religious Organizations': 65352222213632, 'Mass Media': 38757247911936})",36.221598,-115.168253,antioch,9.32141E+14,8.05424E+14,1.30683E+15,1.88181E+15,3.65617E+14,9.90853E+14,4.70203E+14,2.03442E+15,1.97656E+15,2.30041E+15,6.13931E+14,1.44276E+14,1.50724E+15,3.87572E+13,1.0424E+15,3.11746E+14,8.89896E+14,6.53522E+13,3.5959E+15,2.85146E+15
"AVON, OH",avon,ohio,"Counter({'Restaurants': 1003634647484553365939970151051982306446966, 'Food': 474683642743687763563439347137497389406363, 'Shopping': 438263898395259805191869416120212551921330, 'Nightlife': 272001143730675164450375071891059193730660, 'Beauty & Spas': 230981324453925548823639112346606356731207, 'Automotive': 206594323389790124072217278994930053689742, 'Home Services': 184230300147177181126690200758321826395920, 'Event Planning & Services': 173899603222067183236948534862006979794120, 'Local Services': 161655850896804406859776177686257855189607, 'Health & Medical': 145426604255112991818970300017632172808832, 'Active Life': 130020268046471429129388998648410308938112, 'Hotels & Travel': 100923438775935658687423984285300671202214, 'Arts & Entertainment': 95832864477244980719711091139539430202286, 'Pets': 74765040946619195549762612866052698320806, 'Professional Services': 43379698531696461836953964823269540881118, 'Education': 31989181002482510546814858463016001051877, 'Local Flavor': 17496497163558915930581458144104555843146, 'Financial Services': 17090337070106420877137976073197733918232, 'Religious Organizations': 6004652835163775845547230879585006801358, 'Mass Media': 2571466313648276324363254195364991079567})",41.4703689,-82.0203207,avon,1.3002E+41,9.58329E+40,2.06594E+41,2.30981E+41,3.19892E+40,1.739E+41,1.70903E+40,4.74684E+41,1.45427E+41,1.8423E+41,1.00923E+41,1.74965E+40,1.61656E+41,2.57147E+39,2.72001E+41,7.4765E+40,4.33797E+40,6.00465E+39,1.00363E+42,4.38264E+41
"Malton, ON",malton,ON,"Counter({'Restaurants': 113759801661060618264528761, 'Food': 55255567553911104584828391, 'Shopping': 40081120820243337988404091, 'Beauty & Spas': 25706072236983872394730407, 'Nightlife': 19437575121133628879317346, 'Health & Medical': 12889379318403007420979510, 'Event Planning & Services': 12485490833724010735036815, 'Local Services': 11535244564705581524119524, 'Active Life': 10569646003469923420976887, 'Automotive': 9774100765080386373227115, 'Home Services': 7683618284146832578373913, 'Arts & Entertainment': 6852241169887775468149052, 'Hotels & Travel': 6402725926776158949720948, 'Pets': 4587594347874914837045067, 'Professional Services': 3561361446897670248576237, 'Education': 3189303036233381932138500, 'Local Flavor': 1533559760234225538609701, 'Financial Services': 1311709490867909013747913, 'Mass Media': 257649833748819957566984, 'Religious Organizations': 233362240087670279598202})",43.7161407,-79.6343324,malton,1.05696E+25,6.85224E+24,9.7741E+24,2.57061E+25,3.1893E+24,1.24855E+25,1.31171E+24,5.52556E+25,1.28894E+25,7.68362E+24,6.40273E+24,1.53356E+24,1.15352E+25,2.5765E+23,1.94376E+25,4.58759E+24,3.56136E+24,2.33362E+23,1.1376E+26,4.00811E+25
"Shaler Township, PA",shaler township,pennsylvania,"Counter({'Restaurants': 974011849400324105015920216086255595461472699, 'Food': 490238905354918199434148623308919576313762002, 'Shopping': 445811072721592660358702090607652495813539542, 'Nightlife': 239393090344753902175582719065370298541081860, 'Beauty & Spas': 231393309206876458798938712579633985723968549, 'Automotive': 205360246196263600309970848358710618499225312, 'Home Services': 202781592768657879545255013370662545469574049, 'Local Services': 161893912236090006923178758375592069078161688, 'Health & Medical': 161294716187677457532270788919389697525713457, 'Event Planning & Services': 154568869105166887814490733945671121883881919, 'Active Life': 136118664285406119546273425383875153147813732, 'Arts & Entertainment': 85888017963130204090327490869146004855775579, 'Hotels & Travel': 83158592138576997878091368658914660204722688, 'Pets': 70875360783569619114357745489426084266506107, 'Professional Services': 44268012362609729541820133460439892393545552, 'Education': 34752943242293928688512471520417730951233413, 'Local Flavor': 24341437258159919056767297582683317694925853, 'Financial Services': 22009771558248757967883782908059783779543467, 'Religious Organizations': 9530324565807750493207263568716204118423341, 'Mass Media': 3369822574609192127269240474407111183827798})",40.5381139,-79.9619519,shaler township,1.36119E+44,8.5888E+43,2.0536E+44,2.31393E+44,3.47529E+43,1.54569E+44,2.20098E+43,4.90239E+44,1.61295E+44,2.02782E+44,8.31586E+43,2.43414E+43,1.61894E+44,3.36982E+42,2.39393E+44,7.08754E+43,4.4268E+43,9.53032E+42,9.74012E+44,4.45811E+44
"Schottsdale, AZ",schottsdale,arizona,"Counter({'Restaurants': 73262488190594759041, 'Shopping': 63390936484028577401, 'Home Services': 57721644856473090443, 'Health & Medical': 49561670760127379650, 'Beauty & Spas': 41358816958993466954, 'Food': 40664073067457567405, 'Local Services': 34469905065943403163, 'Automotive': 30910432025356182191, 'Active Life': 20237920219544903116, 'Event Planning & Services': 17263176429411071291, 'Professional Services': 17212799642779118808, 'Nightlife': 16380199669365761068, 'Arts & Entertainment': 9506947388710207709, 'Hotels & Travel': 9457066212273623043, 'Financial Services': 9067808825985201905, 'Education': 8462829215289533428, 'Pets': 8326049987538803434, 'Local Flavor': 2325117916474241099, 'Religious Organizations': 1444853683164638985, 'Mass Media': 715861181625197702})",33.50185,-111.92794,schottsdale,2.02379E+19,9.50695E+18,3.09104E+19,4.13588E+19,8.46283E+18,1.72632E+19,9.06781E+18,4.06641E+19,4.95617E+19,5.77216E+19,9.45707E+18,2.32512E+18,3.44699E+19,7.15861E+17,1.63802E+19,8.32605E+18,1.72128E+19,1.44485E+18,7.32625E+19,6.33909E+19
"York Regional Municipality, ON",york regional municipality,ON,"Counter({'Restaurants': 227519767047096877413129652, 'Food': 110511214632542889866481646, 'Shopping': 80162299325894299185566148, 'Beauty & Spas': 51412181470569262807159190, 'Nightlife': 38875178217144734314391722, 'Health & Medical': 25778777187412504286932075, 'Event Planning & Services': 24970999636771567817747291, 'Local Services': 23070505731124666338548927, 'Active Life': 21139307218948035875444847, 'Automotive': 19548215597207183764394702, 'Home Services': 15367247626683342680202385, 'Arts & Entertainment': 13704492201633625969774105, 'Hotels & Travel': 12805461068460669445032290, 'Pets': 9175195298290989986073851, 'Professional Services': 7122728019365248565027625, 'Education': 6378610662564094329666169, 'Local Flavor': 3067121727592854618898320, 'Financial Services': 2623420869569668864591229, 'Mass Media': 515300038311513871127115, 'Religious Organizations': 466724816034110669322154})",43.86269933,-79.48402827,york regional municipality,2.11393E+25,1.37045E+25,1.95482E+25,5.14122E+25,6.37861E+24,2.4971E+25,2.62342E+24,1.10511E+26,2.57788E+25,1.53672E+25,1.28055E+25,3.06712E+24,2.30705E+25,5.153E+23,3.88752E+25,9.1752E+24,7.12273E+24,4.66725E+23,2.2752E+26,8.01623E+25
"Las Vegas , NV",las vegas ,nevada,"Counter({'Restaurants': 7191798351416320, 'Shopping': 5702921361478124, 'Home Services': 4600814498776444, 'Food': 4068832724608512, 'Health & Medical': 3953117356490752, 'Beauty & Spas': 3763622878724319, 'Local Services': 3014481230520320, 'Automotive': 2613664756156416, 'Nightlife': 2084802182549504, 'Event Planning & Services': 1981706289540598, 'Active Life': 1864282085562368, 'Professional Services': 1779792548201472, 'Arts & Entertainment': 1610848720314352, 'Hotels & Travel': 1227862258526656, 'Financial Services': 940406170441216, 'Education': 731234823324160, 'Pets': 623491807664128, 'Local Flavor': 288552947861504, 'Religious Organizations': 130704444427264, 'Mass Media': 77514495823872})",36.1177804,-115.1729332,las vegas ,1.86428E+15,1.61085E+15,2.61366E+15,3.76362E+15,7.31235E+14,1.98171E+15,9.40406E+14,4.06883E+15,3.95312E+15,4.60081E+15,1.22786E+15,2.88553E+14,3.01448E+15,7.75145E+13,2.0848E+15,6.23492E+14,1.77979E+15,1.30704E+14,7.1918E+15,5.70292E+15
"Church Cove, CON",church cove,CON,"Counter({'Restaurants': 33254809518781305, 'Shopping': 18500390360822512, 'Food': 17258925605991246, 'Beauty & Spas': 11747435891494297, 'Home Services': 10909969166324330, 'Health & Medical': 8833596746456907, 'Automotive': 8756587233152267, 'Local Services': 8021996179047782, 'Nightlife': 6863492152233423, 'Event Planning & Services': 6357564656520101, 'Active Life': 5928785294456905, 'Hotels & Travel': 3508615058792608, 'Arts & Entertainment': 3181772656912657, 'Pets': 3145203480363905, 'Professional Services': 2746222454236930, 'Education': 1671707547855229, 'Financial Services': 1132742470897028, 'Local Flavor': 895748311485423, 'Religious Organizations': 329740943245942, 'Mass Media': 89781453659132})",35.532021,-80.8516825,church cove,5.92879E+15,3.18177E+15,8.75659E+15,1.17474E+16,1.67171E+15,6.35756E+15,1.13274E+15,1.72589E+16,8.8336E+15,1.091E+16,3.50862E+15,8.95748E+14,8.022E+15,8.97815E+13,6.86349E+15,3.1452E+15,2.74622E+15,3.29741E+14,3.32548E+16,1.85004E+16
"Las Vegas Nevada, NV",las vegas nevada,nevada,"Counter({'Restaurants': 14383596702832640, 'Shopping': 11405842722956246, 'Home Services': 9201628997552887, 'Food': 8137665449217024, 'Health & Medical': 7906234712981504, 'Beauty & Spas': 7527245757448637, 'Local Services': 6028962461040640, 'Automotive': 5227329512312832, 'Nightlife': 4169604365099008, 'Event Planning & Services': 3963412579081196, 'Active Life': 3728564171124736, 'Professional Services': 3559585096402944, 'Arts & Entertainment': 3221697440628704, 'Hotels & Travel': 2455724517053312, 'Financial Services': 1880812340882432, 'Education': 1462469646648320, 'Pets': 1246983615328256, 'Local Flavor': 577105895723008, 'Religious Organizations': 261408888854528, 'Mass Media': 155028991647744})",36.0965891,-115.1819149,las vegas nevada,3.72856E+15,3.2217E+15,5.22733E+15,7.52725E+15,1.46247E+15,3.96341E+15,1.88081E+15,8.13767E+15,7.90623E+15,9.20163E+15,2.45572E+15,5.77106E+14,6.02896E+15,1.55029E+14,4.1696E+15,1.24698E+15,3.55959E+15,2.61409E+14,1.43836E+16,1.14058E+16
"Peters Township, PA",peters township,pennsylvania,"Counter({'Restaurants': 1948023698800648205955186991850817338752852179, 'Food': 980477810709836396816439128746769725901571495, 'Shopping': 891622145443185318851495419979057127900443937, 'Nightlife': 478786180689507803349203638647463873581917943, 'Beauty & Spas': 462786618413752916629398108787082054775652566, 'Automotive': 410720492392527199760421810304600482124549057, 'Home Services': 405563185537315758241782900574201909080794163, 'Local Services': 323787824472180013168762706492220687740677079, 'Health & Medical': 322589432375354914389454657636484254074611419, 'Event Planning & Services': 309137738210333774982045075493072828441597307, 'Active Life': 272237328570812238522832404898597321428420588, 'Arts & Entertainment': 171776035926260407821177133365732284204807851, 'Hotels & Travel': 166317184277153995408128695734292013506938800, 'Pets': 141750721567139237932071991672072372153275815, 'Professional Services': 88536024725219458898359826025479546118571888, 'Education': 69505886484587857231569109297921078113975040, 'Local Flavor': 48682874516319838011655337739549046323592732, 'Financial Services': 44019543116497515843647320052300925549722305, 'Religious Organizations': 19060649131615500946526069463634429491649237, 'Mass Media': 6739645149218384240434341660865946074210764})",40.2636319,-80.131007,peters township,2.72237E+44,1.71776E+44,4.1072E+44,4.62787E+44,6.95059E+43,3.09138E+44,4.40195E+43,9.80478E+44,3.22589E+44,4.05563E+44,1.66317E+44,4.86829E+43,3.23788E+44,6.73965E+42,4.78786E+44,1.41751E+44,8.8536E+43,1.90606E+43,1.94802E+45,8.91622E+44
"Roxboro, QC",roxboro,QC,"Counter({'Restaurants': 431953307564650916431881461268615980, 'Food': 158604600485596983148968946772685042, 'Shopping': 71208385860400748922789822957132299, 'Nightlife': 63855187768934877066881848697129659, 'Event Planning & Services': 37788770828939743544903117844254897, 'Hotels & Travel': 30287967870784739268453402216632468, 'Beauty & Spas': 29742890879749492623717512716984952, 'Active Life': 22619822447170019445003775590769427, 'Arts & Entertainment': 20992930967110925553527354555756029, 'Health & Medical': 13306039295651363256761621384881455, 'Local Services': 12250291125451745657454994594154846, 'Home Services': 10498185872170808485309349007929930, 'Automotive': 9807543667185563500281544613939451, 'Pets': 5275101378033239349680577300900409, 'Local Flavor': 5220613420581805639742796022860256, 'Education': 4334209404342478108694123936545067, 'Professional Services': 3081568388911525969860235342746137, 'Financial Services': 979379004261914269014345425356567, 'Religious Organizations': 734452786772902836371315811161365, 'Mass Media': 366899817176696227167584393117293})",45.51053423,-73.81093877,roxboro,2.26198E+34,2.09929E+34,9.80754E+33,2.97429E+34,4.33421E+33,3.77888E+34,9.79379E+32,1.58605E+35,1.3306E+34,1.04982E+34,3.0288E+34,5.22061E+33,1.22503E+34,3.669E+32,6.38552E+34,5.2751E+33,3.08157E+33,7.34453E+32,4.31953E+35,7.12084E+34
"Venise-en-Québec, QC",veniseenquébec,QC,"Counter({'Restaurants': 377201563514537826711713093345672, 'Food': 138500857004808558249672615342568, 'Shopping': 62182448916355428291020869818653, 'Nightlife': 55761296980812235272667728903505, 'Event Planning & Services': 32998898701187095024412295886063, 'Hotels & Travel': 26448851383845806926295164326382, 'Beauty & Spas': 25972864999082398680234524231691, 'Active Life': 19752672902537601564352538905951, 'Arts & Entertainment': 18331996178456902859414840941034, 'Health & Medical': 11619447608360692847672217731621, 'Local Services': 10697519581643812904117985666732, 'Home Services': 9167500411966109563107042625832, 'Automotive': 8564399764309715984254204767631, 'Pets': 4606461977823885418483273591483, 'Local Flavor': 4558880578669259831716622811120, 'Education': 3784831682699185213414837140591, 'Professional Services': 2690967736600626529478691812516, 'Financial Services': 855238946458612974892973722926, 'Religious Organizations': 641358069603122623836049470361, 'Mass Media': 320393853383178788078786939656})",45.0823005,-73.1492081,veniseenquébec,1.97527E+31,1.8332E+31,8.5644E+30,2.59729E+31,3.78483E+30,3.29989E+31,8.55239E+29,1.38501E+32,1.16194E+31,9.1675E+30,2.64489E+31,4.55888E+30,1.06975E+31,3.20394E+29,5.57613E+31,4.60646E+30,2.69097E+30,6.41358E+29,3.77202E+32,6.21824E+31
"Huntsburg, OH",huntsburg,ohio,"Counter({'Restaurants': 840279546633434083099931929853412283154384, 'Food': 397422465554241226740208621389176901946550, 'Shopping': 366930526733373032407572410138301041614962, 'Nightlife': 227729282075532291170710692288324786936307, 'Beauty & Spas': 193385992681088527499534045139098700896080, 'Automotive': 172968305578236517010040123933233884345775, 'Home Services': 154244329320241090921975109758198529324603, 'Event Planning & Services': 145595092916938820360402132910545025997211, 'Local Services': 135344176730705620152082122345055598687090, 'Health & Medical': 121756459283463416043552660067787639720133, 'Active Life': 108857712476419935367439947665293129766310, 'Hotels & Travel': 84496785351001493632644156720980347824568, 'Arts & Entertainment': 80234770807633063021050371057316722291383, 'Pets': 62596020243135548834966143526383530239330, 'Professional Services': 36319066411933488431113248521176272873269, 'Education': 26782509529051074331854994785975017777593, 'Local Flavor': 14648705822498743955482887494395128787220, 'Financial Services': 14308653772639526214558755954215565357647, 'Religious Organizations': 5027314446216582267475949704446432937948, 'Mass Media': 2152925423241505909946187152785073714358})",41.5591594,-81.0953571,huntsburg,1.08858E+41,8.02348E+40,1.72968E+41,1.93386E+41,2.67825E+40,1.45595E+41,1.43087E+40,3.97422E+41,1.21756E+41,1.54244E+41,8.44968E+40,1.46487E+40,1.35344E+41,2.15293E+39,2.27729E+41,6.2596E+40,3.63191E+40,5.02731E+39,8.4028E+41,3.66931E+41
"Mesa AZ, AZ",mesa az,arizona,"Counter({'Restaurants': 132560824431277577159, 'Shopping': 114699282120101356013, 'Home Services': 104441290743466978929, 'Health & Medical': 89676669444561383306, 'Beauty & Spas': 74834461796101266652, 'Food': 73577395249427484958, 'Local Services': 62369694866519801037, 'Automotive': 55929199976780431645, 'Active Life': 36618403979101564132, 'Event Planning & Services': 31235915627543443499, 'Professional Services': 31144764091020226372, 'Nightlife': 29638261355130077290, 'Arts & Entertainment': 17201828859451122171, 'Hotels & Travel': 17111574077838469075, 'Financial Services': 16407253472345761981, 'Education': 15312606021261598292, 'Pets': 15065118287176348870, 'Local Flavor': 4207058148310633259, 'Religious Organizations': 2614311909863024725, 'Mass Media': 1295276078635314286})",33.46413858,-111.6832942,mesa az,3.66184E+19,1.72018E+19,5.59292E+19,7.48345E+19,1.53126E+19,3.12359E+19,1.64073E+19,7.35774E+19,8.96767E+19,1.04441E+20,1.71116E+19,4.20706E+18,6.23697E+19,1.29528E+18,2.96383E+19,1.50651E+19,3.11448E+19,2.61431E+18,1.32561E+20,1.14699E+20
"Cleveland Hts., OH",cleveland hts,ohio,"Counter({'Restaurants': 2875606085264484487827008648113779847515431, 'Food': 1360059833596238450828588661249827595046869, 'Shopping': 1255710269006572265308884621387731023136341, 'Nightlife': 779335534171928134880550826966017182317164, 'Beauty & Spas': 661805871137366509400284530105537892377738, 'Automotive': 591932427811010445477223059666742109880024, 'Home Services': 527855204601711142480127008484400209989740, 'Event Planning & Services': 498255773157883253011903149857497625252681, 'Local Services': 463175070452730080911719993072775562300070, 'Health & Medical': 416675160830165661764151582281246326480155, 'Active Life': 372533047697426199156370215751214708983819, 'Hotels & Travel': 289165041698468109418774164534711996187012, 'Arts & Entertainment': 274579568321781803356679842475268424219900, 'Pets': 214216206315710550249333469178252142631524, 'Professional Services': 124291170484531372863876957641099466124973, 'Education': 91655149395170231147653864679883012070350, 'Local Flavor': 50130825834325496937214878841735073475055, 'Financial Services': 48967099134324775669879568311067039218960, 'Religious Organizations': 17204483998210459041800786478685001158849, 'Mass Media': 7367745023662529307267861044016688933094})",41.5037134,-81.5658982,cleveland hts,3.72533E+41,2.7458E+41,5.91932E+41,6.61806E+41,9.16551E+40,4.98256E+41,4.89671E+40,1.36006E+42,4.16675E+41,5.27855E+41,2.89165E+41,5.01308E+40,4.63175E+41,7.36775E+39,7.79336E+41,2.14216E+41,1.24291E+41,1.72045E+40,2.87561E+42,1.25571E+42
"Russellton, PA",russellton,pennsylvania,"Counter({'Restaurants': 3893763783045883022743609145218557563477816918, 'Food': 1959806234273522900426534592136351146398346121, 'Shopping': 1782199066790525929422493202639498208295455640, 'Nightlife': 957011093519786531307941464514275177893721350, 'Beauty & Spas': 925030724814684402542613031935909443979325093, 'Automotive': 820959508458451397316696361115930853903068710, 'Home Services': 810650940516880579633632264207705799018684192, 'Local Services': 647196081391210882990116417165052086079468612, 'Health & Medical': 644800702039625536627624336625461989080613235, 'Event Planning & Services': 617913082760344357007746489617605630810065005, 'Active Life': 544155520815698914197776080630733166176891828, 'Arts & Entertainment': 343350703534386938225975784159197527593676384, 'Hotels & Travel': 332439399497686905442419724035635397404164309, 'Pets': 283335272665607911622113688421058712497149398, 'Professional Services': 176968261105941143153334309516395358948614607, 'Education': 138930293131861189704783870435589855439289023, 'Local Flavor': 97308679439023706125439618294191822732160208, 'Financial Services': 87987483334403309718482819071923651973613567, 'Religious Organizations': 38098953988970178793256707174640709180590359, 'Mass Media': 13471389597962461076546222642244065987670487})",40.6092611,-79.83695984,russellton,5.44156E+44,3.43351E+44,8.2096E+44,9.25031E+44,1.3893E+44,6.17913E+44,8.79875E+43,1.95981E+45,6.44801E+44,8.10651E+44,3.32439E+44,9.73087E+43,6.47196E+44,1.34714E+43,9.57011E+44,2.83335E+44,1.76968E+44,3.8099E+43,3.89376E+45,1.7822E+45
"TORONTO, ON",toronto,ON,"Counter({'Restaurants': 438294030487890258341460888, 'Food': 212888780188418268822085042, 'Shopping': 154424636244682786215208075, 'Beauty & Spas': 99040415368595805514677633, 'Nightlife': 74889134987556298918276525, 'Health & Medical': 49660230850102198958980366, 'Event Planning & Services': 48104128349633462292115135, 'Local Services': 44443017297022258754452079, 'Active Life': 40722756896971393149937295, 'Automotive': 37657678337779847561815120, 'Home Services': 29603462535236674911478801, 'Arts & Entertainment': 26400330840706643327474828, 'Hotels & Travel': 24668437458401520081783417, 'Pets': 17675094256619279900388952, 'Professional Services': 13721221730287706171832638, 'Education': 12287754213591182990178432, 'Local Flavor': 5908502638829536238416417, 'Financial Services': 5053757401007358738312188, 'Mass Media': 992673883387749067952018, 'Religious Organizations': 899098585600980937725192})",43.77585416,-79.25797787,toronto,4.07228E+25,2.64003E+25,3.76577E+25,9.90404E+25,1.22878E+25,4.81041E+25,5.05376E+24,2.12889E+26,4.96602E+25,2.96035E+25,2.46684E+25,5.9085E+24,4.4443E+25,9.92674E+23,7.48891E+25,1.76751E+25,1.37212E+25,8.99099E+23,4.38294E+26,1.54425E+26
"Dallas, TX",dallas,texas,"Counter({'Restaurants': 28767193405665280, 'Shopping': 22811685445912492, 'Home Services': 18403257995105774, 'Food': 16275330898434048, 'Health & Medical': 15812469425963008, 'Beauty & Spas': 15054491514897274, 'Local Services': 12057924922081280, 'Automotive': 10454659024625663, 'Nightlife': 8339208730198016, 'Event Planning & Services': 7926825158162392, 'Active Life': 7457128342249472, 'Professional Services': 7119170192805888, 'Arts & Entertainment': 6443394881257408, 'Hotels & Travel': 4911449034106624, 'Financial Services': 3761624681764864, 'Education': 2924939293296640, 'Pets': 2493967230656512, 'Local Flavor': 1154211791446016, 'Religious Organizations': 522817777709056, 'Mass Media': 310057983295488})",36.0701358,-115.1753479,dallas,7.45713E+15,6.44339E+15,1.04547E+16,1.50545E+16,2.92494E+15,7.92683E+15,3.76162E+15,1.62753E+16,1.58125E+16,1.84033E+16,4.91145E+15,1.15421E+15,1.20579E+16,3.10058E+14,8.33921E+15,2.49397E+15,7.11917E+15,5.22818E+14,2.87672E+16,2.28117E+16
"Midnapore, AB",midnapore,AB,"Counter({'Restaurants': 205905143, 'Food': 105721344, 'Shopping': 101667408, 'Beauty & Spas': 56442493, 'Nightlife': 45571839, 'Automotive': 37025568, 'Health & Medical': 30395392, 'Home Services': 29679488, 'Local Services': 26830208, 'Active Life': 24489852, 'Event Planning & Services': 23429116, 'Arts & Entertainment': 16258048, 'Hotels & Travel': 15810368, 'Pets': 12607487, 'Professional Services': 8387072, 'Education': 7403520, 'Local Flavor': 4634560, 'Financial Services': 3014656, 'Mass Media': 983040, 'Religious Organizations': 458752})",50.9135623,-114.0639924,midnapore,24489852,16258048,37025568,56442493,7403520,23429116,3014656,105721344,30395392,29679488,15810368,4634560,26830208,983040,45571839,12607487,8387072,458752,205905143,101667408
